Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached_ontime,Product_importance_enc,WarehouseBl_le,ModeShip_le
3,3,176,4,10,1177,1,1.0,1,0
3,4,250,3,3,2371,1,0.0,3,0
3,5,198,3,1,3667,1,1.0,3,0
3,4,143,2,6,1194,1,1.0,2,0
2,5,156,2,2,1750,1,0.0,2,2
4,2,234,3,4,3261,1,1.0,1,2
5,1,210,3,9,2944,1,0.0,1,2
5,4,190,2,9,3753,1,1.0,3,2
3,3,158,3,6,1878,1,0.0,4,2
4,2,231,4,6,2512,1,1.0,0,2
5,5,230,2,2,2229,1,0.0,4,2
6,2,278,3,3,2974,1,1.0,1,2
4,4,175,2,7,1188,1,1.0,0,2
4,1,271,2,8,2401,1,1.0,4,2
3,5,144,4,5,1104,1,1.0,0,2
3,3,218,3,3,2255,1,0.0,0,2
3,1,158,2,2,1284,1,0.0,0,1
2,5,263,3,5,2947,1,0.0,2,1
5,5,222,3,10,2280,1,0.0,2,1
3,3,168,2,1,1829,1,1.0,0,0
3,5,157,3,4,1889,1,1.0,1,0
3,5,162,2,7,1739,1,1.0,4,0
5,1,237,2,10,3860,1,0.0,4,0
4,4,220,2,7,2551,1,1.0,3,0
3,3,162,3,8,1869,1,1.0,2,2
5,2,274,3,6,3375,1,1.0,4,2
4,3,185,3,10,2263,1,1.0,0,2
4,4,150,2,3,1285,1,1.0,4,2
3,3,192,3,2,3995,1,1.0,2,2
5,5,255,4,3,3440,1,1.0,4,2
2,1,222,2,5,3778,1,1.0,4,2
2,4,140,3,7,1411,1,0.0,3,2
2,3,139,3,9,1471,1,0.0,0,2
2,2,157,3,1,1477,1,0.0,0,2
4,3,185,3,3,3131,1,1.0,3,2
4,2,192,3,4,2061,1,2.0,3,2
4,5,116,3,9,1314,1,1.0,4,2
2,2,133,3,5,1268,1,0.0,1,2
2,3,158,3,10,1515,1,0.0,4,2
2,1,142,3,8,6064,1,1.0,2,2
2,3,139,3,3,1788,1,0.0,3,2
2,2,145,3,5,6102,1,1.0,4,1
